Customer_ID,Customer_Name,Market,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
AA-10315,Alex Avila,APAC,"Eldon Lockers, Blue","Kleencut Trimmer, Steel","Eldon Shelving, Blue","SanDisk Mouse, Programmable","Harbour Creations Swivel Stool, Red"
AA-10315,Alex Avila,EU,"Canon Personal Copier, High-Speed","Motorola Audio Dock, VoIP","Sanford Sketch Pad, Fluorescent","Eldon File Cart, Single Width","Binney & Smith Canvas, Easy-Erase"
AA-10315,Alex Avila,LATAM,"Stockwell Paper Clips, Bulk Pack","Smead Lockers, Industrial","Hoover Blender, White","Ibico Index Tab, Clear","Belkin Memory Card, Erganomic"
AA-10315,Alex Avila,US,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",Fellowes PB200 Plastic Comb Binding Machine,Mitel MiVoice 5330e IP Phone,Mophie Juice Pack Helium for iPhone
AA-10375,Allen Armold,APAC,"SAFCO Steel Folding Chair, Red","Eldon Lockers, Blue","Tenex Box, Industrial","Green Bar Note Cards, Premium","SanDisk Memory Card, USB"
AA-10375,Allen Armold,EU,"Canon Personal Copier, High-Speed","Avery 3-Hole Punch, Durable","Sanford Pens, Easy-Erase","Motorola Audio Dock, VoIP","Ibico Hole Reinforcements, Durable"
AA-10375,Allen Armold,LATAM,"Sauder Classic Bookcase, Traditional","Xerox Computer Printout Paper, 8.5 x 11","Accos Paper Clips, Metal","Rogers File Cart, Blue","Jiffy Mailers, Security-Tint"
AA-10375,Allen Armold,US,Revere Boxed Rubber Bands by Revere,Logitech Desktop MK120 Mouse and keyboard Combo,Ibico Laser Imprintable Binding System Covers,Xerox 1959,"Bevis Oval Conference Table, Walnut"
AA-10480,Andrew Allen,APAC,"SAFCO Steel Folding Chair, Red","Xerox Computer Printout Paper, Multicolor","Cameo Interoffice Envelope, Set of 50","Fiskars Scissors, Steel","Ibico Binder Covers, Recycled"
AA-10480,Andrew Allen,EU,"Avery Index Tab, Clear","Canon Personal Copier, High-Speed","Boston Canvas, Easy-Erase","Motorola Audio Dock, VoIP","Ibico Hole Reinforcements, Durable"
